오븐에꾸운닭 서동점
호호닭발 구서점
한방통닭&바베큐
계성상회
노랑통닭 부산구서점
아웃닭 부산대점
나무랑닭이랑 구서본점
썬더치킨 부곡1호점
국제통닭구서점
처갓집양념치킨 장전점
호식이두마리치킨 서동점
가마치통닭 남산역점
꼬끼오 본점
60계 부산구서점
만냥통닭 장전점
멕시카나치킨 구서점
BHC치킨 명륜점
처갓집양념치킨 금정산SK점
이모통닭,"이모통닭,https://www.youtube.com/watch?v=XmxGDpi0IXM,212,3,0,48,1,0"
맛있는치킨
다가치통닭,"다가치통닭,https://www.youtube.com/watch?v=UfyQUhKhSEc,3801,114,18,0,0,0","다가치통닭,https://www.youtube.com/watch?v=EjUEgN7LxZQ,1891,15,3,27,2,0"
계성상회,"계성상회,https://www.youtube.com/watch?v=aXI8FJbPRoo,683,0,15,0,0,0"
요달의찜닭,"요달의찜닭,https://www.youtube.com/watch?v=vkPrcix1mTs,5356,41,13,0,0,0","요달의찜닭,https://www.youtube.com/watch?v=4F8SBKqd5tA,50,6,0,18,0,0","요달의찜닭,https://www.youtube.com/watch?v=34uBZvCLJ-M,258,3,0,0,0,0"
호호신닭발
백년가마솥통닭
다계촌,"다계촌,https://www.youtube.com/watch?v=CEOrj9Y9fLk,1592,31,5,0,0,0","다계촌,https://www.youtube.com/watch?v=QY9Lw0B08xc,1231,4,0,12,0,0"
똥다리불닭발
신짜글이닭발,"신짜글이닭발,https://www.youtube.com/watch?v=P0JrgozEmBU,418,5,0,55,0,0"
부어치킨,"부어치킨,https://www.youtube.com/watch?v=2fY0H-M1rdQ,16424,130,20,131,49,0"
별뚱별닭강정&치킨
꼬꼬아찌숯불치킨,"꼬꼬아찌숯불치킨,https://www.youtube.com/watch?v=2m68lPM_I3k,1799,110,0,739,25,0"
안동집
청춘닭발
정성상회
하단닭도리
배꼽시계,"배꼽시계,https://www.youtube.com/watch?v=CPNCmfuSWJg,3274596,5772,0,2214,65,0","배꼽시계,https://www.youtube.com/watch?v=OP5KEjC5Vcw,2683,34,5,1289,0,0"
신천닭도리
형제닭도리,"형제닭도리,https://www.youtube.com/watch?v=MNVVnM_Rtn4,132,5,0,37,0,0","형제닭도리,https://www.youtube.com/watch?v=UqErZ1iHqJ0,978,18,1,90,0,0","형제닭도리,https://www.youtube.com/watch?v=1CyqsbkADHM,73,0,0,91,9,0"
호호닭집,"호호닭집,https://www.youtube.com/watch?v=PTuIZMWJUTM,815,8,0,216,22,0"
팔복통닭,"팔복통닭,https://www.youtube.com/watch?v=x5py_hMduuE,170,2,0,67,40,0"
창녕두부집
천하대장군집,"천하대장군집,https://www.youtube.com/watch?v=ToH90ZASFYY,93,1,1,8584,1,0"
치킨&마늘통닭
포구나무집,"포구나무집,https://www.youtube.com/watch?v=53z9cUGUjwM,1280,13,15,540,15,0","포구나무집,https://www.youtube.com/watch?v=n1R4S9Sayio,508,3,0,41,3,0","포구나무집,https://www.youtube.com/watch?v=0fp_wQr2EYs,1967,24,4,949,67,0","포구나무집,https://www.youtube.com/watch?v=Nn9vq2WVTSY,2068,12,2,204,9,0"
성안집
경주집
1등닭발집
닭장옛날통닭,"닭장옛날통닭,https://www.youtube.com/watch?v=JEEGv2u9Zgk,117,6,0,179,10,0"
홀닭,"홀닭,https://www.youtube.com/watch?v=se0CfV2RXz0,1342,8,0,494,1,0"
에이스치킨,"에이스치킨,https://www.youtube.com/watch?v=t34omm7pnvk,186,1,0,217,0,0","에이스치킨,https://www.youtube.com/watch?v=fxpePtIaO2s,195,2,0,140,18,0"
중독떡볶이
생명꼬치
