스시카요
남천낙지
스시이가
텐동코하루,"텐동코하루,https://www.youtube.com/watch?v=-RJK6bmj1L0,119,7,11,1948,0,0"
스시마이우 부산대점
정희옥스시 부산대점
나오리쇼쿠,"나오리쇼쿠,https://www.youtube.com/watch?v=U1UI2d_DlT0,790,10,4,743,0,0","나오리쇼쿠,https://www.youtube.com/watch?v=TTqO6jDLH9s,766,16,0,0,0,0","나오리쇼쿠,https://www.youtube.com/watch?v=thYbmMY1Xmc,1918,5,6,822,0,0","나오리쇼쿠,https://www.youtube.com/watch?v=A7wGALQiBZE,859,4,0,164,0,0","나오리쇼쿠,https://www.youtube.com/watch?v=HRyE8i5am4c,725,16,12,1880,0,0"
백소정 부산대점,"백소정 부산대점,https://www.youtube.com/watch?v=1G2z3xpQeYI,284,6,0,138,0,0"
오사카함박스테이크
할매회무침
푸짐한횟집,"푸짐한횟집,https://www.youtube.com/watch?v=C0jvOBBXEME,20117,344,19,179,0,0","푸짐한횟집,https://www.youtube.com/watch?v=vSZJmrRJkEs,1414,10,1,39,0,0"
인자한키친,"인자한키친,https://www.youtube.com/watch?v=qTAHCXZRIws,184,6,2,0,0,0","인자한키친,https://www.youtube.com/watch?v=GiuiG5ukYqM,286,6,0,784,0,0","인자한키친,https://www.youtube.com/watch?v=5-nvw0xJ9Lk,2778,9,0,82,0,0"
스시심,"스시심,https://www.youtube.com/watch?v=rXC6ZGbt6zs,2694,23,8,1154,0,0","스시심,https://www.youtube.com/watch?v=Azksv6HydQA,5062,44,5,1570,0,0","스시심,https://www.youtube.com/watch?v=tj-SNbfzI24,44204,308,41,990,0,0"
수중어초횟집,"수중어초횟집,https://www.youtube.com/watch?v=3HFrci2n5gw,174,8,4,562,0,0"
해도수산센터
푸짐한횟집,"푸짐한횟집,https://www.youtube.com/watch?v=C0jvOBBXEME,20117,344,19,179,0,0","푸짐한횟집,https://www.youtube.com/watch?v=vSZJmrRJkEs,1414,10,1,39,0,0"
가거도횟집
더산오징어
태평양회참치
어플러스,"어플러스,https://www.youtube.com/watch?v=8SOgBW0Dvaw,451,13,0,1539,0,0","어플러스,https://www.youtube.com/watch?v=YY3XxT7Nelg,719,5,1,34,0,0"
수라이크
낙지로101
최가네착한초밥
유메노다이닝,"유메노다이닝,https://www.youtube.com/watch?v=7BkUJR_iXe4,51,0,0,107,0,0"
박기모조방낙지,"박기모조방낙지,https://www.youtube.com/watch?v=XhGAfcf6SHs,73,3,0,223,0,0","박기모조방낙지,https://www.youtube.com/watch?v=aSWTrj1nv1U,31,4,0,134,0,0","박기모조방낙지,https://www.youtube.com/watch?v=SffVIQ6HfUU,68,5,1,141,0,0","박기모조방낙지,https://www.youtube.com/watch?v=YjqfOkSnkBo,62,0,1,20,0,0"
대박횟집,"대박횟집,https://www.youtube.com/watch?v=1ZrkK0ba-H0,532,12,9,556,0,0","대박횟집,https://www.youtube.com/watch?v=s0aPUrtgYlg,7060,62,6,2948,0,0"
테판야끼도리하츠코이
청해스시
풍성한회나라
막썰어횟집
부경그집쭈꾸미
최선장횟집
이츠키,"이츠키,https://www.youtube.com/watch?v=raqmDuqk0qI,839405,8440,1104,1060,0,0","이츠키,https://www.youtube.com/watch?v=NNY2YM3y11o,22824,1238,129,541,0,0"
신명가낙지
옥반상,"옥반상,https://www.youtube.com/watch?v=gixWossIRgI,7360,191,43,9300,0,0"
난스시
여너,"여너,https://www.youtube.com/watch?v=ogf4NOjbixQ,97,7,1,0,0,0"
홍이네횟집
야타이스시,"야타이스시,https://www.youtube.com/watch?v=7YqguoSVG54,0,0,0,0,0,0"
어구야,"어구야,https://www.youtube.com/watch?v=u4WcoJrHeDU,302,3,0,215,0,0","어구야,https://www.youtube.com/watch?v=fCZ8xK9mfLQ,2180,22,3,479,0,0"
구서회도매센타
카레야
돈부리타쿠미
찜나라,"찜나라,https://www.youtube.com/watch?v=XMBVv83JIxY,41,1,0,0,0,0","찜나라,https://www.youtube.com/watch?v=BRd_dC2JjeI,63,10,19,581,0,0"
바다사랑횟집,"바다사랑횟집,https://www.youtube.com/watch?v=f0F92Klm-NY,828,6,0,39,0,0","바다사랑횟집,https://www.youtube.com/watch?v=L2N89xX0pxk,277,2,0,297,0,0","바다사랑횟집,https://www.youtube.com/watch?v=4m5biXaKpIU,65,3,8,0,0,0"
우마이,"우마이,https://www.youtube.com/watch?v=qSCwkdX387U,1457,0,1,168,0,0","우마이,https://www.youtube.com/watch?v=IyWJDJxzIgY,18553,171,64,1472,0,0","우마이,https://www.youtube.com/watch?v=WtGBVFl8akU,72,3,0,264,0,0","우마이,https://www.youtube.com/watch?v=7j31oE2Ctmg,46085,521,65,256,0,0","우마이,https://www.youtube.com/watch?v=qiHJL2DJUQ4,626926,11713,309,44,0,0"
노다지물회
부부스시
대궐횟집,"대궐횟집,https://www.youtube.com/watch?v=t6hekIlr_5g,660,3,5,566,0,0","대궐횟집,https://www.youtube.com/watch?v=7KHhHQpMmYY,325,6,0,33,0,0","대궐횟집,https://www.youtube.com/watch?v=Dl57jjxqWDs,135,7,2,1858,0,0"
동서낙지볶음삼계탕
도도횟집
명수정,"명수정,https://www.youtube.com/watch?v=5X4WySwioI8,2758,40,0,457,0,0"
진진일품물횟집
남해자연산전문횟집
스시미도리
청해정,"청해정,https://www.youtube.com/watch?v=bc9wiHzejns,457,0,1,66,0,0","청해정,https://www.youtube.com/watch?v=qZPvot-J8Hw,289,0,0,40,0,0"
석산횟집,"석산횟집,https://www.youtube.com/watch?v=a54GTAPs16c,72,1,0,52,0,0"
고순회마트,"고순회마트,https://www.youtube.com/watch?v=mSQtTkOYzJs,122,2,0,208,0,0"
대성관초밥
원조조방낙지,"원조조방낙지,https://www.youtube.com/watch?v=izup1WsvaEw,3346,28,6,1080,0,0","원조조방낙지,https://www.youtube.com/watch?v=hK13o-rNiHc,4361,36,9,159,0,0"
성덕수산,"성덕수산,https://www.youtube.com/watch?v=LhIYm5s7Nn8,19,4,0,150,0,0"
청담동대구뽈찜아구찜
가젠스시,"가젠스시,https://www.youtube.com/watch?v=EzyThwi95B0,11220,106,1,112,0,0"
거복,"거복,https://www.youtube.com/watch?v=Dd4hpp-oQtA,195201,138,0,510,0,0"
