오븐에꾸운닭 서동점
호호닭발 구서점
한방통닭&바베큐
계성상회
노랑통닭 부산구서점
아웃닭 부산대점
나무랑닭이랑 구서본점
썬더치킨 부곡1호점
국제통닭구서점
처갓집양념치킨 장전점
호식이두마리치킨 서동점
가마치통닭 남산역점
꼬끼오 본점
60계 부산구서점
만냥통닭 장전점
멕시카나치킨 구서점
BHC치킨 명륜점
처갓집양념치킨 금정산SK점
이모통닭
맛있는치킨
다가치통닭
계성상회
요달의찜닭
호호신닭발
백년가마솥통닭
다계촌
똥다리불닭발
신짜글이닭발
부어치킨,"부어치킨,https://www.youtube.com/watch?v=2fY0H-M1rdQ,16424,130,20,131,49,0"
별뚱별닭강정&치킨
꼬꼬아찌숯불치킨
안동집
청춘닭발
정성상회
하단닭도리
배꼽시계
신천닭도리
형제닭도리
호호닭집
팔복통닭,"팔복통닭,https://www.youtube.com/watch?v=x5py_hMduuE,170,2,0,67,40,0"
창녕두부집
천하대장군집
치킨&마늘통닭
포구나무집
성안집
경주집
1등닭발집
닭장옛날통닭
홀닭
에이스치킨
중독떡볶이
생명꼬치
