스시카요
남천낙지
스시이가
텐동코하루
스시마이우 부산대점
정희옥스시 부산대점
나오리쇼쿠
백소정 부산대점
오사카함박스테이크
할매회무침
푸짐한횟집
인자한키친
스시심
수중어초횟집
해도수산센터
푸짐한횟집
가거도횟집
더산오징어
태평양회참치
어플러스
수라이크
낙지로101
최가네착한초밥
유메노다이닝
박기모조방낙지
대박횟집
테판야끼도리하츠코이
청해스시
풍성한회나라
막썰어횟집
부경그집쭈꾸미
최선장횟집
이츠키
신명가낙지
옥반상
난스시
여너
홍이네횟집
야타이스시
어구야
구서회도매센타
카레야
돈부리타쿠미
찜나라
바다사랑횟집
우마이
노다지물회
부부스시
대궐횟집
동서낙지볶음삼계탕
도도횟집
명수정
진진일품물횟집
남해자연산전문횟집
스시미도리
청해정
석산횟집
고순회마트
대성관초밥
원조조방낙지
성덕수산
청담동대구뽈찜아구찜
가젠스시
거복
한바다횟집
삼천포횟집
오륙도낙지
살아있네문어
명소횟집
회식
토모
대성수산
신촌참치
동해회도매집
혼토스시
원조조방낙지
호주에서온스시
원참가자미횟집
칼슘왕멸치쌈밥
텐동롯코
와와횟집
오뚜기횟집
하루돈부리
선참치
대양회직판장
교토밥상
별궁아구찜
남산시장횟집
상선도매횟집
꾼2013
진부령황태탕
골목집
충무대구탕
고성대흥횟집
싸리초밥
기장방우횟집
포항임곡물회
오이시이푸드
씨포그(SEEFOG)
다이와
동현횟집
생생모밀
열도횟집
물고기자리
오륜대향어회
바로바로도매횟집
스시완
삼바리
연심
이랑공동체
미가참치
참치무라
녹산횟집
통영생선구이
이수초밥
동해포장횟집
선해횟집
봄스시
야끼몬
대환컴퍼니
금호회관
뚱이네생선구이
스나쿠
호주에서온스시
히다마리
