                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0999,                 1.2299,                 1.7028,                0.94024,                 0.2008,                0.24265,                0.17774,                 1.2812,                 1.3849,                 1.9055,             0.00033306,             0.00033306,             0.00033306
                     35,                 1.0743,                 1.1587,                 1.6705,                0.93729,                0.19591,                0.23541,                0.17493,                 1.2475,                  1.338,                 1.8473,             0.00031506,             0.00031506,             0.00031506
                     36,                 1.0366,                 1.1487,                 1.6578,                 0.9375,                0.20468,                0.23384,                0.17032,                 1.2397,                 1.3272,                 1.8401,             0.00029706,             0.00029706,             0.00029706
                     37,                 1.0447,                 1.1347,                  1.662,                0.93783,                0.20468,                0.23508,                0.17013,                 1.2568,                 1.3231,                 1.8631,             0.00027906,             0.00027906,             0.00027906
                     38,                 1.0355,                  1.116,                 1.6473,                0.94571,                 0.2029,                0.23627,                0.17462,                 1.2212,                 1.3029,                 1.8133,             0.00026106,             0.00026106,             0.00026106
                     39,                  1.017,                 1.1122,                 1.6214,                0.93326,                0.20322,                0.23492,                0.17355,                 1.2458,                   1.34,                 1.8525,             0.00024307,             0.00024307,             0.00024307
                     40,                  1.015,                 1.1011,                  1.635,                0.94396,                0.19225,                0.24599,                0.18203,                 1.2307,                 1.3349,                  1.839,             0.00022507,             0.00022507,             0.00022507
                     41,                0.95865,                 1.2362,                 1.6255,                0.94419,                 0.1981,                0.22605,                0.16581,                 1.2441,                  1.387,                   1.82,             0.00020707,             0.00020707,             0.00020707
                     42,                0.94387,                 1.1551,                 1.6052,                0.93159,                0.19251,                0.22456,                0.15636,                 1.2659,                 1.3863,                 1.8437,             0.00018907,             0.00018907,             0.00018907
                     43,                0.92422,                 1.1021,                 1.5754,                0.92237,                0.20709,                0.24633,                 0.1808,                 1.2401,                 1.3337,                 1.8057,             0.00017107,             0.00017107,             0.00017107
                     44,                0.91429,                 1.0919,                 1.5795,                0.92199,                0.20814,                0.27292,                0.20043,                 1.2051,                 1.3279,                 1.7876,             0.00015308,             0.00015308,             0.00015308
                     45,                0.87118,                 1.0715,                 1.5417,                0.93255,                0.19664,                0.27352,                0.20072,                 1.2292,                 1.3297,                 1.8018,             0.00013508,             0.00013508,             0.00013508
                     46,                0.87478,                 1.0747,                 1.5445,                0.93899,                0.19902,                0.28976,                0.22083,                 1.2038,                 1.3292,                 1.7736,             0.00011708,             0.00011708,             0.00011708
                     47,                0.87412,                 1.0602,                 1.5103,                0.93177,                0.19591,                0.26361,                 0.1901,                 1.2241,                 1.3362,                 1.7853,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                0.87855,                 1.0559,                  1.529,                0.92532,                0.20003,                0.25184,                0.18418,                 1.1782,                 1.2985,                  1.735,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                 0.8693,                 1.0436,                 1.5331,                 0.9186,                0.20541,                0.25597,                0.18726,                 1.1899,                 1.2924,                  1.753,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                0.84936,                 1.0608,                  1.529,                0.91916,                0.20906,                0.26288,                0.19093,                 1.1945,                 1.2978,                  1.761,             4.5086e-05,             4.5086e-05,             4.5086e-05
